date,platform,type,hook,impressions,likes,replies,reposts,profile_clicks,follows,views,read_rate,purchases,revenue,note
2026-09-14,note,本編,第1話：30歳まで、あと3ヶ月。私はなぜ、看護師になったんだろう。,,16,2,,,,193,,,,無料／現行版
2026-09-14,note,重複,30歳まで、あと3ヶ月。1億2000万円の借金を抱えた29歳が、…,,1,0,,,,106,,,,【要確認】事実関係が不明
2026-09-14,note,重複,第1章：なぜ私は看護師になったのか。29歳になった今、あの頃…,,8,0,,,,100,,,,第1話の旧版
2026-09-14,note,本編,第2話：体重が10kg落ちて、笑い方が分からなくなった。,,11,0,,,,87,,,,無料
2026-09-14,note,本編,第3話：「何か始めたい」と思った私が、副業に100万円払う…,,8,0,,,,63,,,,有料300円
2026-09-14,note,単発,「AIとは何なのか？『便利なツール』だと思っている人へ。」,,2,0,,,,48,,,,連載外
2026-09-14,note,番外編,番外編：1年間の看護実習で目も合わせられなかった私がやった…,,4,0,,,,33,,,,有料500円／現行版
2026-09-14,note,重複,「私はダメだ」をやめる。人と話すのが苦手だった私が作った…,,2,0,,,,31,,,,番外編の旧版
2026-09-14,note,本編,第4話：6ヶ月、毎週課題を出した。それなのに手が動かなかった。,,9,0,,,,26,,,,有料300円／スキ率34.6%
2026-09-14,note,重複,30歳まで、あと3ヶ月。（削除済み）,,0,0,,,,8,,,,削除済み
